track,artist,seeds,number_of_emotion_tags,valence_tags,arousal_tags,dominance_tags,mbid,spotify_id,genre
Sanctuary,Cavalera Conspiracy,['aggressive'],4,4.666666667,6.046666667,5.596666667,66304a47-a43a-4bb9-bd13-863f9baffcba,1qVRv7ydm4sMj9aX5VYuN4,thrash metal
Blunt After Blunt,Danny Brown,['aggressive'],1,3.08,5.87,5.49,7ee6a5f8-8f88-4d94-aff6-001400d52e2f,68Gzj05pLDpnleA77r6QGK,rap
Full Disclosure,Fugazi,['aggressive'],1,3.08,5.87,5.49,a1eaec8f-c338-46e8-8b93-89dabaa36358,5x5nJm3ZLs6T1vrFT2IiTE,post-hardcore
Thru the Walls,Death Grips,"['aggressive', 'energetic']",2,5.325,5.985,5.65,0a4284fa-c2f8-4af3-b9b4-39f7aa56d1d8,,rap
It's So Easy,Willy DeVille,['aggressive'],3,4.8775,4.715,5.8025,8aafae6b-b449-4736-9f0c-6bd03f01e896,,soundtrack
Lazy (Lazy),Architecture in Helsinki,"['aggressive', 'angry', 'cold', 'gritty', 'warm', 'flowing', 'smooth', 'soft']",13,5.311538462,4.22,5.384615385,30381ac6-34be-4081-9ec0-a245596607e2,4mmFg7XCbVhPipfZn43AfV,indie pop
Wollt Ihr Das Bett In Flammen,Rammstein,['aggressive'],1,3.08,5.87,5.49,,14CVBGaoD5k3VC9Qmz5imZ,industrial metal
It's Expected I'm Gone,Minutemen,['aggressive'],1,3.08,5.87,5.49,fa4c9928-fa1c-4678-bdd0-23a02610c97e,3bbVPVAL3ulmu3kNGJ9EDF,post-punk
Melody of Certain Three,Blonde Redhead,"['aggressive', 'nostalgic', 'driving', 'tense']",8,5.27015625,4.205859375,5.022890625,06d9da43-d137-4cb9-baa9-187994c94bda,3sDOdE1zP6Ail3q5wBUoZR,indie rock
A Nation On Fire,Machine Head,['aggressive'],1,3.08,5.87,5.49,88eaa65a-8d0c-443d-86d2-e68c63096363,3EQGVx92eRnUjptgNnKFr5,thrash metal
Kill All the White People,Type O Negative,['aggressive'],3,2.905,4.312916667,3.97375,10f130cc-7744-4fa0-b8a5-a14a95e0a837,4DuE7W3HEq037BuHzas2Ym,gothic metal
Killer In You,Limp Bizkit,['aggressive'],1,3.08,5.87,5.49,174d2707-a776-4a74-bbda-c41ff261fef9,6yU0SkbZRmu8WUKAEFhsRa,nu metal
Furor Divinus,Behemoth,['aggressive'],2,2.816666667,5.47,4.606666667,308c96e0-ac01-45dd-9e7a-9dec2de841f7,65CWoT7I7N0bHxzuXujYdm,death metal
Out Of My Way,Seether,['aggressive'],2,3.799148936,5.77212766,5.800638298,a62ba415-4a63-47ee-91a0-9062e374e604,3p7Lr8Kpy0imLB1yalPgQu,alternative rock
Project Mayhem,Finch,['aggressive'],3,3.532063492,5.776031746,5.293174603,9cb073ce-e094-4e1a-a675-391486b3e920,2JJd2Nq3P3akG3ah4mT07h,screamo
Kerosene,Big Black,"['aggressive', 'angry', 'dark']",18,3.760833333,5.5425,4.5875,01f91009-777b-40b2-9903-6b9f9bb518f2,3mtQQLpGwnIuYMgGADBlGz,noise rock
What If We Could,Blue October,['aggressive'],8,5.431,5.002,5.512,c5f5766e-e24b-478e-b166-6cf6a6fd1caf,1mgkZJY7MkVHn2bvMvpWCX,alternative rock
That's All Lies,Jet,['aggressive'],2,5.775,5.96,6.35,c72b116d-853a-422a-a0e2-8fd06435b115,6JKkhN4ZnwoinLatQOUHG4,rock
In The City,Kevin Rudolf,['aggressive'],3,4.66,5.223333333,5.023333333,4867a976-2f24-4287-a2f5-a681de4dd494,4ix4xoMPPOo8H43TG1DQA1,rock
Biggest & The Best,Clawfinger,['aggressive'],2,2.888695652,5.984782609,5.01,973931b0-9644-48d3-82be-43700ed453b2,51XrhhPlt1smLatJgcBrUb,metal
"Hey, Cruel World...",Marilyn Manson,['aggressive'],4,3.576666667,5.871666667,5.011666667,,5JEFYrZighZ4yqzWfyBRNh,industrial metal
Enlightened By The Cold,Shadows Fall,['aggressive'],2,3.610666667,5.131333333,5.202,4c5eef61-7978-462c-8582-8e0d6a38153a,5RbTA4fyEZjDfhM3bYgPOI,metalcore
Glow,Coal Chamber,['aggressive'],1,3.08,5.87,5.49,88a76f1e-51e5-4572-ad04-212bead916c7,6PiuN9kO8W7W2pv5h67uCF,nu metal
Invaders Must Die,Prodigy,['aggressive'],3,4.6825,5.285,5.885,d7d34e04-2638-4633-9050-6d37cf9b94f7,1j6lrR4BzRGKwvAPfrIcbf,electronic
The Subtle Arts of Murder and Persuasion,Lamb of God,"['aggressive', 'angry', 'technical']",4,3.855660377,5.906603774,5.323773585,de2a336b-67bf-4d9d-a56d-cafead66cc0b,1XWWlu64sNi9jqktYeKH8O,thrash metal
New Radio,Bikini Kill,['aggressive'],1,3.08,5.87,5.49,11c81768-afe0-4b8d-b59c-0f80bfa96e27,4DgsvJNNGvV5WPQ40qR3R8,riot grrrl
You Could Easily Have Me,Metronomy,"['aggressive', 'spooky']",2,3.531578947,5.914473684,5.144473684,3503e600-8bf2-430e-911c-49f32f3d7c9c,1UKOgSwVAFcnDEsYYOlyV1,electro
Requiem,Avenged Sevenfold,['aggressive'],3,6.279830508,5.389830508,5.747118644,04fabdc3-9775-4a5a-b0f9-c995cef3e06e,2QecHpp1nzPMwo95fwxZ9h,symphonic metal
Strip Tease,Danity Kane,"['aggressive', 'ethereal', 'exotic']",10,6.899590643,6.077660819,5.823450292,f462d7f2-5dd4-49a4-be3b-229f33ec22c6,7upJI4tZAZ9H7k6Egqw0mG,pop
Shit From an Old Notebook,Minutemen,"['aggressive', 'witty']",2,5.165,5.76,6.03,bce0cf43-187c-43f7-bd9b-2a9bb4e9daf0,2z2qTST29C0jxdCGjlqVNE,punk
Army Of The Sun,Roadrunner United,['aggressive'],2,4.35,4.47,6.14,e1bdaed3-4dd8-4610-9215-274109f3feef,1nrWrZkGdSqz3UaDkv3Z35,metal
Fuck You,Damageplan,['aggressive'],5,3.597368421,5.510526316,5.223684211,a572d2bb-bef0-4903-a475-2fbafb447cc6,6uBWlHNKcK1P8FDlPPd94u,metal
Skinny Little Bitch,Hole,['aggressive'],4,4.562758621,5.588965517,5.308965517,346fe3d2-aa52-4844-a19b-507ad71bc5d7,2TxYbRGmKGbVnSFRWlp1Qx,grunge
Outsider Intro,DJ Shadow,['aggressive'],2,5.135,5.335,5.405,053fc3d8-b3a2-4c2e-9b0a-72264dd6795e,78mZbakIUOomWVdIK5xAlc,trip-hop
Self vs Self,Pendulum,['aggressive'],2,1.54,2.935,2.745,,2lN6G35gsXkA3xzPYqmis5,metal
Tired Of Being Alive,Danzig,['aggressive'],3,3.744285714,5.203571429,5.230714286,dde6b1bf-5301-417f-b99d-fbb433a7f6fd,4XtywUcY2InXkgLL3OfDmp,hard rock
Roadblox,The Prodigy,['aggressive'],1,3.08,5.87,5.49,,1XLDwXV7qokRGtzfPLfnSF,breakbeat
Fuck The World,Turbonegro,['aggressive'],2,3.746666667,5.276666667,5.196666667,b333bcbe-1057-4650-b2d2-7254b56db163,1VyXtvIHF8eytwxxDLsE3Z,hard rock
Shameful Metaphors,Chevelle,['aggressive'],5,2.838571429,5.192857143,4.202857143,c6920094-0103-4e4b-8fe5-2b2711fe1d99,6yE653bOUMCnnAbCOnZS55,hard rock
Suffer in Truth,Meshuggah,['aggressive'],4,4.668,5.314,5.378,eea55c16-3bbf-477c-ada4-b79598873b1c,3krvrhWbJ45ajIGl2MTKAB,progressive metal
Wasted Life,Stiff Little Fingers,['aggressive'],2,4.105882353,5.524117647,5.675882353,2f44989a-2ae3-4205-a3c2-039b4ade2a99,52qsLeKxfmSjaxAiHGPMbk,punk
